id,name,gender,age,degree,stream,college_name,placement_status,salary,gpa,years_of_experience,10th %,SSC Board,12th %,HSC Board,12th Stream,specialisation,Mtech/MS
16,Isabella Perez,Female,25,Bachelor's,Mechanical Engineering,University of Virginia,Not Placed,0,3.7,2,65,Central,75,Central,Science,Mkt&Fin,64.66
17,Ethan Turner,Male,26,Bachelor's,Computer Science,University of Wisconsin--Madison,Placed,61000,3.9,2,63,Central,66.2,Central,Science,Mkt&Fin,62.54
18,Olivia Moore,Female,24,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,62000,3.8,1,55,Central,67,Central,Science,Mkt&Fin,67.28
19,Mason Parker,Male,23,Bachelor's,Information Technology,University of North Carolina--Chapel Hill,Placed,59000,3.7,2,63,Central,66,Central,Science,Mkt&HR,64.08
20,Amelia Rivera,Female,25,Bachelor's,Computer Science,University of Washington,Placed,65000,3.6,1,60,Others,67,Others,Science,Mkt&Fin,77.89
21,Lucas Reed,Male,24,Bachelor's,Electrical Engineering,University of California--San Diego,Placed,67000,3.5,3,62,Others,65,Others,Science,Mkt&HR,56.7
22,Elizabeth Wood,Female,26,Bachelor's,Mechanical Engineering,University of Texas--Austin,Not Placed,0,3.8,3,79,Others,76,Others,Science,Mkt&Fin,69.06
23,Aiden Ward,Male,23,Bachelor's,Computer Science,University of California--Santa Barbara,Placed,60000,3.7,2,69.8,Others,60.8,Others,Science,Mkt&HR,68.81
24,Charlotte Ross,Female,25,Bachelor's,Electronics and Communication,University of Southern California,Placed,63000,3.6,1,77.4,Others,60,Others,Science,Mkt&Fin,63.62
25,Owen Brooks,Male,26,Bachelor's,Information Technology,University of Florida,Placed,60000,3.9,2,76.5,Others,97.7,Others,Science,Mkt&Fin,74.01
26,Grace Watson,Female,24,Bachelor's,Computer Science,University of Minnesota--Twin Cities,Not Placed,0,3.8,3,52.58,Others,54.6,Central,Science,Mkt&Fin,65.33
27,Jack Bailey,Male,23,Bachelor's,Electrical Engineering,University of Maryland--College Park,Placed,64000,3.7,2,71,Others,79,Others,Science,Mkt&Fin,57.55
28,Natalie Murphy,Female,25,Bachelor's,Mechanical Engineering,University of California--Davis,Placed,66000,3.5,1,63,Others,67,Others,Science,Mkt&HR,57.69
29,Liam Russell,Male,24,Bachelor's,Computer Science,University of Pittsburgh,Placed,59000,3.7,2,76.76,Others,76.5,Others,Science,Mkt&Fin,64.15
30,Chloe Peterson,Female,26,Bachelor's,Electronics and Communication,University of Colorado--Boulder,Placed,62000,3.6,1,62,Central,67,Central,Science,Mkt&Fin,51.29
31,Elijah Kelly,Male,23,Bachelor's,Information Technology,University of Rochester,Placed,61000,3.9,2,64,Central,73.5,Central,Science,Mkt&HR,56.7
32,Anna Cooper,Female,25,Bachelor's,Computer Science,Boston College,Not Placed,0,3.8,3,67,Central,53,Central,Science,Mkt&HR,58.32
33,Lucas Reed,Male,26,Bachelor's,Electrical Engineering,Rice University,Placed,65000,3.5,3,61,Central,81,Central,Science,Mkt&HR,62.21
34,Sophia Price,Female,24,Bachelor's,Electronics and Communication,University of California--Irvine,Placed,64000,3.6,1,87,Others,65,Others,Science,Mkt&Fin,72.78
35,Mason Parker,Male,23,Bachelor's,Information Technology,Georgetown University,Placed,67000,3.7,2,62,Others,51,Others,Science,Mkt&HR,62.77
36,Olivia Moore,Female,25,Bachelor's,Computer Science,University of Georgia,Not Placed,0,3.6,1,69,Central,78,Central,Science,Mkt&HR,62.74
37,William Hernandez,Male,24,Bachelor's,Information Technology,University of Notre Dame,Placed,63000,3.7,2,51,Central,44,Central,Science,Mkt&Fin,51.45
38,Amelia Rivera,Female,26,Bachelor's,Computer Science,University of Iowa,Placed,62000,3.8,3,79,Central,76,Central,Science,Mkt&HR,55.47
39,Ethan Turner,Male,23,Bachelor's,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2,73,Others,58,Others,Science,Mkt&HR,56.86
40,Isabella Perez,Female,25,Bachelor's,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1,81,Others,68,Others,Science,Mkt&Fin,62.56
41,Daniel Martinez,Male,24,Bachelor's,Computer Science,University of California--Riverside,Not Placed,0,3.9,2,78,Central,77,Others,Science,Mkt&Fin,66.72
42,Mia Gonzalez,Female,26,Bachelor's,Electronics and Communication,University of Delaware,Placed,65000,3.7,1,74,Others,63.16,Others,Science,Mkt&HR,69.76
43,Alexander Rodriguez,Male,23,Bachelor's,Information Technology,University of California--San Francisco,Placed,66000,3.8,3,49,Others,39,Central,Science,Mkt&Fin,51.21
44,Olivia Moore,Female,25,Bachelor's,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1,87,Others,87,Others,Science,Mkt&HR,62.9
45,Jack Bailey,Male,26,Bachelor's,Electrical Engineering,University of Virginia,Placed,64000,3.9,2,77,Others,73,Others,Science,Mkt&Fin,69.7
46,Charlotte Ross,Female,24,Bachelor's,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0,3.4,1,76,Central,64,Central,Science,Mkt&HR,66.53
47,Owen Brooks,Male,23,Bachelor's,Computer Science,University of California--San Diego,Placed,65000,3.7,2,70.89,Others,71.98,Others,Science,Mkt&HR,71.63
48,Grace Watson,Female,25,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,66000,3.8,3,63,Central,60,Central,Science,Mkt&Fin,54.55
49,Liam Russell,Male,26,Bachelor's,Information Technology,University of California--Los Angeles,Placed,67000,3.9,3,63,Others,62,Others,Science,Mkt&Fin,62.46
50,Chloe Peterson,Female,24,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,68000,3.9,3,50,Others,37,Others,Science,Mkt&HR,56.11
51,Elijah Kelly,Male,23,Bachelor's,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2,75.2,Central,73.2,Central,Science,Mkt&HR,62.98
52,Anna Cooper,Female,25,Bachelor's,Mechanical Engineering,University of Washington,Placed,67000,3.8,3,54.4,Central,61.12,Central,Science,Mkt&HR,62.65
53,Lucas Reed,Male,26,Bachelor's,Computer Science,University of California--Berkeley,Placed,66000,3.9,3,40.89,Others,45.83,Others,Science,Mkt&HR,65.49
54,Sophia Price,Female,24,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,80,Others,70,Others,Science,Mkt&HR,71.04
55,Mason Parker,Male,23,Bachelor's,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2,74,Central,60,Others,Science,Mkt&HR,65.56
56,Olivia Moore,Female,25,Bachelor's,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,60.4,Central,66.6,Others,Science,Mkt&HR,52.71
57,William Hernandez,Male,24,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,63,Others,71.4,Others,Science,Mkt&Fin,66.88
58,Amelia Rivera,Female,26,Bachelor's,Computer Science,University of Rochester,Placed,62000,3.8,3,68,Central,76,Central,Science,Mkt&Fin,63.59
59,Ethan Turner,Male,23,Bachelor's,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2,74,Central,62,Others,Science,Mkt&Fin,57.99
60,Isabella Perez,Female,25,Bachelor's,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1,52.6,Central,65.58,Others,Science,Mkt&Fin,56.66
61,Daniel Martinez,Male,24,Bachelor's,Computer Science,University of California--Riverside,Not Placed,0,3.9,2,74,Central,70,Central,Science,Mkt&Fin,57.24
62,Mia Gonzalez,Female,26,Bachelor's,Electronics and Communication,University of Delaware,Placed,65000,3.7,1,84.2,Central,73.4,Central,Science,Mkt&Fin,62.48
63,Alexander Rodriguez,Male,23,Bachelor's,Information Technology,University of California--San Francisco,Placed,66000,3.8,3,86.5,Others,64.2,Others,Science,Mkt&Fin,59.69
64,Olivia Moore,Female,25,Bachelor's,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1,61,Others,70,Others,Science,Mkt&HR,59.5
65,Jack Bailey,Male,26,Bachelor's,Electrical Engineering,University of Virginia,Placed,64000,3.9,2,80,Others,73,Others,Science,Mkt&Fin,58.78
66,Charlotte Ross,Female,24,Bachelor's,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0,3.4,1,54,Others,47,Others,Science,Mkt&HR,57.1
67,Owen Brooks,Male,23,Bachelor's,Computer Science,University of California--San Diego,Placed,65000,3.7,2,83,Others,74,Others,Science,Mkt&HR,58.46
68,Grace Watson,Female,25,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,66000,3.8,3,80.92,Others,78.5,Others,Science,Mkt&Fin,60.99
69,Liam Russell,Male,26,Bachelor's,Information Technology,University of California--Los Angeles,Placed,67000,3.9,3,69.7,Central,47,Central,Science,Mkt&HR,59.24
70,Chloe Peterson,Female,24,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,68000,3.9,3,73,Central,73,Central,Science,Mkt&Fin,68.07
71,Elijah Kelly,Male,23,Bachelor's,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2,82,Others,61,Others,Science,Mkt&Fin,65.45
72,Anna Cooper,Female,25,Bachelor's,Mechanical Engineering,University of Washington,Placed,67000,3.8,3,75,Others,70.29,Others,Science,Mkt&Fin,66.94
73,Lucas Reed,Male,26,Bachelor's,Computer Science,University of California--Berkeley,Placed,66000,3.9,3,84.86,Others,67,Others,Science,Mkt&Fin,68.53
74,Sophia Price,Female,24,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,64.6,Central,83.83,Others,Science,Mkt&Fin,59.75
75,Mason Parker,Male,23,Bachelor's,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2,56.6,Central,64.8,Central,Science,Mkt&Fin,67.2
76,Olivia Moore,Female,25,Bachelor's,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,59,Central,62,Others,Science,Mkt&HR,67
77,William Hernandez,Male,24,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,66.5,Others,70.4,Central,Science,Mkt&Fin,64.27
78,Amelia Rivera,Female,26,Bachelor's,Computer Science,University of Rochester,Placed,62000,3.8,3,64,Others,80,Others,Science,Mkt&Fin,57.65
79,Ethan Turner,Male,23,Bachelor's,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2,84,Others,90.9,Others,Science,Mkt&Fin,59.42
80,Isabella Perez,Female,25,Bachelor's,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1,69,Central,62,Central,Science,Mkt&HR,67.99
81,Daniel Martinez,Male,24,Bachelor's,Computer Science,University of California--Riverside,Not Placed,0,3.9,2,69,Others,62,Others,Science,Mkt&HR,62.35
82,Mia Gonzalez,Female,26,Bachelor's,Electronics and Communication,University of Delaware,Placed,65000,3.7,1,81.7,Others,63,Others,Science,Mkt&Fin,70.2
83,Alexander Rodriguez,Male,23,Bachelor's,Information Technology,University of California--San Francisco,Placed,66000,3.8,3,63,Central,67,Central,Science,Mkt&Fin,60.44
84,Olivia Moore,Female,25,Bachelor's,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1,84,Others,79,Others,Science,Mkt&Fin,66.69
85,Jack Bailey,Male,26,Bachelor's,Electrical Engineering,University of Virginia,Placed,64000,3.9,2,70,Central,63,Others,Science,Mkt&Fin,62
86,Charlotte Ross,Female,24,Bachelor's,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0,3.4,1,83.84,Others,89.83,Others,Science,Mkt&Fin,76.18
87,Owen Brooks,Male,23,Bachelor's,Computer Science,University of California--San Diego,Placed,65000,3.7,2,62,Others,63,Others,Science,Mkt&Fin,57.03
88,Grace Watson,Female,25,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,66000,3.8,3,59.6,Central,51,Central,Science,Mkt&HR,59.08
89,Liam Russell,Male,26,Bachelor's,Information Technology,University of California--Los Angeles,Placed,67000,3.9,3,66,Central,62,Central,Science,Mkt&HR,64.36
90,Chloe Peterson,Female,24,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,68000,3.9,3,84,Others,75,Others,Science,Mkt&HR,62.36
91,Elijah Kelly,Male,23,Bachelor's,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2,85,Others,90,Others,Science,Mkt&Fin,68.03
92,Anna Cooper,Female,25,Bachelor's,Mechanical Engineering,University of Washington,Placed,67000,3.8,3,52,Central,57,Central,Science,Mkt&HR,62.79
93,Lucas Reed,Male,26,Bachelor's,Computer Science,University of California--Berkeley,Placed,66000,3.9,3,60.23,Central,69,Central,Science,Mkt&Fin,59.47
94,Sophia Price,Female,24,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,52,Central,62,Central,Science,Mkt&HR,55.41
95,Mason Parker,Male,23,Bachelor's,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2,58,Central,62,Central,Science,Mkt&Fin,54.97
96,Olivia Moore,Female,25,Bachelor's,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,73,Central,78,Others,Science,Mkt&Fin,62.16
97,William Hernandez,Male,24,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,76,Central,70,Central,Science,Mkt&Fin,64.44
98,Amelia Rivera,Female,26,Bachelor's,Computer Science,University of Rochester,Placed,62000,3.8,3,70.5,Central,62.5,Others,Science,Mkt&Fin,69.03
99,Ethan Turner,Male,23,Bachelor's,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2,69,Central,73,Central,Science,Mkt&Fin,57.31
100,Isabella Perez,Female,25,Bachelor's,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1,54,Central,82,Others,Science,Mkt&Fin,59.47
101,Daniel Martinez,Male,24,Bachelor's,Computer Science,University of California--Riverside,Not Placed,0,3.9,2,45,Others,57,Others,Science,Mkt&HR,64.95
102,Mia Gonzalez,Female,26,Bachelor's,Electronics and Communication,University of Delaware,Placed,65000,3.7,1,63,Central,72,Central,Science,Mkt&HR,60.44
103,Alexander Rodriguez,Male,23,Bachelor's,Information Technology,University of California--San Francisco,Placed,66000,3.8,3,77,Others,61,Others,Science,Mkt&Fin,61.31
104,Olivia Moore,Female,25,Bachelor's,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1,73,Central,78,Central,Science,Mkt&HR,65.83
105,Jack Bailey,Male,26,Bachelor's,Electrical Engineering,University of Virginia,Placed,64000,3.9,2,69,Central,63,Others,Science,Mkt&HR,58.23
106,Charlotte Ross,Female,24,Bachelor's,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0,3.4,1,59,Central,64,Others,Science,Mkt&HR,55.3
107,Owen Brooks,Male,23,Bachelor's,Computer Science,University of California--San Diego,Placed,65000,3.7,2,61.08,Others,50,Others,Science,Mkt&Fin,65.69
108,Grace Watson,Female,25,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,66000,3.8,3,82,Others,90,Others,Science,Mkt&HR,73.52
109,Liam Russell,Male,26,Bachelor's,Information Technology,University of California--Los Angeles,Placed,67000,3.9,3,61,Central,82,Central,Science,Mkt&Fin,58.31
110,Chloe Peterson,Female,24,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,68000,3.9,3,52,Central,63,Others,Science,Mkt&HR,56.09
111,Elijah Kelly,Male,23,Bachelor's,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2,69.5,Central,70,Central,Science,Mkt&HR,54.8
112,Anna Cooper,Female,25,Bachelor's,Mechanical Engineering,University of Washington,Placed,67000,3.8,3,51,Others,54,Others,Science,Mkt&HR,60.64
113,Lucas Reed,Male,26,Bachelor's,Computer Science,University of California--Berkeley,Placed,66000,3.9,3,58,Others,61,Others,Science,Mkt&HR,53.94
114,Sophia Price,Female,24,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,73.96,Others,79,Others,Science,Mkt&Fin,63.08
115,Mason Parker,Male,23,Bachelor's,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2,65,Central,68,Others,Science,Mkt&HR,55.01
116,Olivia Moore,Female,25,Bachelor's,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,73,Others,63,Others,Science,Mkt&Fin,60.5
117,William Hernandez,Male,24,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,68.2,Central,72.8,Central,Science,Mkt&Fin,70.85
118,Amelia Rivera,Female,26,Bachelor's,Computer Science,University of Rochester,Placed,62000,3.8,3,77,Others,75,Others,Science,Mkt&Fin,67.05
119,Ethan Turner,Male,23,Bachelor's,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2,76,Central,80,Central,Science,Mkt&HR,70.48
120,Isabella Perez,Female,25,Bachelor's,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1,60.8,Central,68.4,Central,Science,Mkt&Fin,64.34
121,Daniel Martinez,Male,24,Bachelor's,Computer Science,University of California--Riverside,Not Placed,0,3.9,2,58,Others,40,Others,Science,Mkt&HR,58.81
122,Mia Gonzalez,Female,26,Bachelor's,Electronics and Communication,University of Delaware,Placed,65000,3.7,1,64,Central,67,Others,Science,Mkt&HR,71.49
123,Alexander Rodriguez,Male,23,Bachelor's,Information Technology,University of California--San Francisco,Placed,66000,3.8,3,66.5,Central,66.8,Central,Science,Mkt&Fin,71
124,Olivia Moore,Female,25,Bachelor's,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1,74,Others,59,Others,Science,Mkt&HR,56.7
125,Jack Bailey,Male,26,Bachelor's,Electrical Engineering,University of Virginia,Placed,64000,3.9,2,67,Central,71,Central,Science,Mkt&HR,61.26
126,Charlotte Ross,Female,24,Bachelor's,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0,3.4,1,84,Central,73,Central,Science,Mkt&Fin,73.33
127,Owen Brooks,Male,23,Bachelor's,Computer Science,University of California--San Diego,Placed,65000,3.7,2,79,Others,61,Others,Science,Mkt&Fin,68.2
128,Grace Watson,Female,25,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,66000,3.8,3,72,Others,60,Others,Science,Mkt&HR,58.4
129,Liam Russell,Male,26,Bachelor's,Information Technology,University of California--Los Angeles,Placed,67000,3.9,3,80.4,Central,73.4,Central,Science,Mkt&HR,76.26
130,Chloe Peterson,Female,24,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,68000,3.9,3,76.7,Central,89.7,Others,Science,Mkt&Fin,68.55
131,Elijah Kelly,Male,23,Bachelor's,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2,62,Central,65,Others,Science,Mkt&Fin,64.15
132,Anna Cooper,Female,25,Bachelor's,Mechanical Engineering,University of Washington,Placed,67000,3.8,3,74.9,Others,57,Others,Science,Mkt&Fin,60.78
133,Lucas Reed,Male,26,Bachelor's,Computer Science,University of California--Berkeley,Placed,66000,3.9,3,67,Others,68,Others,Science,Mkt&HR,53.49
134,Sophia Price,Female,24,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,73,Central,64,Others,Science,Mkt&HR,60.98
135,Mason Parker,Male,23,Bachelor's,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2,77.44,Central,92,Others,Science,Mkt&Fin,67.13
136,Olivia Moore,Female,25,Bachelor's,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,72,Central,56,Others,Science,Mkt&HR,65.63
137,William Hernandez,Male,24,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,47,Central,59,Central,Science,Mkt&Fin,61.58
138,Amelia Rivera,Female,26,Bachelor's,Computer Science,University of Rochester,Placed,62000,3.8,3,67,Others,63,Central,Science,Mkt&HR,60.41
139,Ethan Turner,Male,23,Bachelor's,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2,82,Others,64,Others,Science,Mkt&Fin,71.77
140,Isabella Perez,Female,25,Bachelor's,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1,77,Central,70,Central,Science,Mkt&Fin,54.43
141,Daniel Martinez,Male,24,Bachelor's,Computer Science,University of California--Riverside,Not Placed,0,3.9,2,65,Central,64.8,Others,Science,Mkt&Fin,56.94
142,Mia Gonzalez,Female,26,Bachelor's,Electronics and Communication,University of Delaware,Placed,65000,3.7,1,66,Central,64,Central,Science,Mkt&HR,61.9
143,Alexander Rodriguez,Male,23,Bachelor's,Information Technology,University of California--San Francisco,Placed,66000,3.8,3,85,Central,60,Others,Science,Mkt&Fin,61.29
144,Olivia Moore,Female,25,Bachelor's,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1,77.67,Others,64.89,Others,Science,Mkt&Fin,60.39
145,Jack Bailey,Male,26,Bachelor's,Electrical Engineering,University of Virginia,Placed,64000,3.9,2,52,Others,50,Others,Science,Mkt&Fin,58.52
146,Charlotte Ross,Female,24,Bachelor's,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0,3.4,1,89.4,Others,65.66,Others,Science,Mkt&HR,63.23
147,Owen Brooks,Male,23,Bachelor's,Computer Science,University of California--San Diego,Placed,65000,3.7,2,62,Central,63,Others,Science,Mkt&HR,55.14
148,Grace Watson,Female,25,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,66000,3.8,3,70,Central,74,Central,Science,Mkt&Fin,62.28
149,Liam Russell,Male,26,Bachelor's,Information Technology,University of California--Los Angeles,Placed,67000,3.9,3,77,Central,86,Central,Science,Mkt&Fin,64.08
150,Chloe Peterson,Female,24,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,68000,3.9,3,44,Central,58,Central,Science,Mkt&HR,58.54
151,Elijah Kelly,Male,23,Bachelor's,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2,71,Central,58.66,Central,Science,Mkt&Fin,61.3
152,Anna Cooper,Female,25,Bachelor's,Mechanical Engineering,University of Washington,Placed,67000,3.8,3,65,Central,65,Central,Science,Mkt&Fin,58.87
153,Lucas Reed,Male,26,Bachelor's,Computer Science,University of California--Berkeley,Placed,66000,3.9,3,75.4,Others,60.5,Central,Science,Mkt&Fin,65.25
154,Sophia Price,Female,24,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,49,Others,59,Others,Science,Mkt&Fin,62.48
155,Mason Parker,Male,23,Bachelor's,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2,53,Central,63,Others,Science,Mkt&Fin,53.2
156,Olivia Moore,Female,25,Bachelor's,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,51.57,Others,74.66,Others,Science,Mkt&HR,65.99
157,William Hernandez,Male,24,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,84.2,Central,69.4,Central,Science,Mkt&HR,52.72
158,Amelia Rivera,Female,26,Bachelor's,Computer Science,University of Rochester,Placed,62000,3.8,3,66.5,Central,62.5,Central,Science,Mkt&Fin,55.03
159,Ethan Turner,Male,23,Bachelor's,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2,67,Others,63,Others,Science,Mkt&Fin,61.87
160,Isabella Perez,Female,25,Bachelor's,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1,52,Central,49,Others,Science,Mkt&HR,60.59
161,Daniel Martinez,Male,24,Bachelor's,Computer Science,University of California--Riverside,Not Placed,0,3.9,2,87,Central,74,Central,Science,Mkt&HR,72.29
162,Mia Gonzalez,Female,26,Bachelor's,Electronics and Communication,University of Delaware,Placed,65000,3.7,1,55.6,Others,51,Others,Science,Mkt&HR,62.72
163,Alexander Rodriguez,Male,23,Bachelor's,Information Technology,University of California--San Francisco,Placed,66000,3.8,3,74.2,Central,87.6,Others,Science,Mkt&Fin,66.06
164,Olivia Moore,Female,25,Bachelor's,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1,63,Others,67,Others,Science,Mkt&Fin,66.46
165,Jack Bailey,Male,26,Bachelor's,Electrical Engineering,University of Virginia,Placed,64000,3.9,2,67.16,Central,72.5,Central,Science,Mkt&Fin,65.52
166,Charlotte Ross,Female,24,Bachelor's,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0,3.4,1,63.3,Central,78.33,Others,Science,Mkt&Fin,74.56
167,Owen Brooks,Male,23,Bachelor's,Computer Science,University of California--San Diego,Placed,65000,3.7,2,62,Others,62,Others,Science,Mkt&HR,52.38
168,Grace Watson,Female,25,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,66000,3.8,3,67.9,Others,62,Others,Science,Mkt&Fin,75.71
169,Liam Russell,Male,26,Bachelor's,Information Technology,University of California--Los Angeles,Placed,67000,3.9,3,48,Central,51,Central,Science,Mkt&HR,58.79
170,Chloe Peterson,Female,24,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,68000,3.9,3,59.96,Others,42.16,Others,Science,Mkt&HR,65.48
171,Elijah Kelly,Male,23,Bachelor's,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2,63.4,Others,67.2,Others,Science,Mkt&HR,69.28
172,Anna Cooper,Female,25,Bachelor's,Mechanical Engineering,University of Washington,Placed,67000,3.8,3,80,Others,80,Others,Science,Mkt&Fin,66.04
173,Lucas Reed,Male,26,Bachelor's,Computer Science,University of California--Berkeley,Placed,66000,3.9,3,73,Others,58,Others,Science,Mkt&HR,52.64
